DateTime,AddedIPs,RemovedIPs
1438284742,0,1
1438288339,1,0
1438304553,0,1
1438313535,1,0
1438329752,0,1
1438331547,1,0
1438365756,0,1
1438367550,1,0
1438374748,0,1
1438383757,1,0
1438412541,0,1
1438414337,1,0
1438419739,0,1
1438421542,1,0
1438441345,0,1
1438452141,1,0
1438459357,0,1
1438468336,1,0
1438500726,0,1
1438502542,1,0
1438509739,0,1
1438511530,1,0
1438535804,0,1
1438539404,1,0
1438557398,0,1
1438562797,1,0
1438580847,0,1
1438582612,1,0
1438602402,0,1
1438604204,1,0
1438636611,0,1
1438640246,1,0
1438652822,0,1
1438658202,1,0
1438681623,0,1
1438683407,1,0
1438696030,0,1
1438697810,1,0
1438706801,0,1
1438712238,1,0
1438728399,0,1
1438735599,1,0
1438740998,0,1
1438742797,1,0
1438751801,0,1
1438753651,1,0
1438767999,0,1
1438782415,1,0
1438804000,0,1
1438805798,1,0
1438948038,1,0
1438949830,0,1
1438955287,1,0
1438980398,0,1
1438982196,1,0
1438992999,0,1
1438994804,1,0
1439001995,0,1
1439009217,1,0
1439016452,0,1
1439018238,1,0
1439032602,0,1
1439041603,1,0
1439048799,0,1
1439052402,1,0
1439059600,0,1
1439070432,1,0
1439091993,0,1
1439097394,1,0
1439104602,0,1
1439108204,1,0
1439137936,0,1
1439145146,1,0
1439152336,0,1
1439154143,1,0
1439179409,0,1
1439181138,1,0
1439196431,0,1
1439210844,1,0
1439247756,1,0
1439254943,0,1
1439269376,0,1
1439296345,1,0
1439355776,0,1
1439366555,1,0
1439379148,0,1
1439382755,1,0
1439395352,0,1
1439406148,1,0
1439442174,0,1
1439445811,1,0
1439460139,0,1
1439463745,1,0
1439472737,0,1
1439476354,1,0
1439519546,0,1
1439524944,1,0
1439546558,0,1
1439551949,1,0
1439562755,0,1
1439578952,1,0
1439595150,0,1
1439600554,1,0
1439632912,0,1
1439634713,1,0
1439673418,0,1
1439678847,1,0
1439706746,0,1
1439708553,1,0
1439733744,0,1
1439739096,1,0
1439762578,0,1
1439771540,1,0
1439778752,0,1
1439780550,1,0
1439785953,0,1
1439791316,1,0
1439805737,0,1
1439816549,1,0
1439825543,0,1
1439827359,1,0
1439841729,0,1
1439852544,1,0
1439870560,0,1
1439872364,1,0
1439881360,0,1
1439883156,1,0
1439924552,0,1
1439926347,1,0
1439962347,0,1
1439967753,1,0
1439973148,0,1
1439974956,1,0
1439992951,0,1
1439994747,1,0
1440001950,0,1
1440007357,1,0
1440012746,0,1
1440014551,1,0
1440063146,0,1
1440064950,1,0
1440111758,0,1
1440117150,1,0
1440151351,0,1
1440154949,1,0
1440161219,0,1
1440172031,1,0
1440181047,0,1
1440182848,1,0
1440207155,0,1
1440214358,1,0
1440246708,0,1
1440250338,1,0
1440259371,0,1
1440262972,1,0
1440270140,0,1
1440280968,1,0
1440295492,0,1
1440297137,1,0
1440324111,0,1
1440328647,1,0
1440345740,0,1
1440349347,1,0
1440360171,0,1
1440363732,1,0
1440376313,0,1
1440378155,1,0
1440392571,0,1
1440397953,1,0
1440405148,0,1
1440408757,1,0
1440419510,0,1
1440423137,1,0
1440455560,0,1
1440459146,1,0
1440464541,0,1
1440469948,1,0
1440477153,0,1
1440478961,1,0
1440489755,0,1
1440496954,1,0
1440532947,0,1
1440534752,1,0
1440610332,0,1
1440612166,1,0
1440642746,0,1
1440644540,1,0
1440660759,0,1
1440662550,1,0
1440738164,0,1
1440741774,1,0
1440748926,0,1
1440754344,1,0
1440795746,0,1
1440797538,1,0
1440802950,0,1
1440808352,1,0
1440853367,0,1
1440858755,1,0
1440864164,0,1
1440865956,1,0
1440874962,0,1
1440876764,1,0
1440898354,0,1
1440900313,1,0
1440907419,0,1
1440910973,1,0
1440927143,0,1
1440932548,1,0
1440943345,0,1
1440946952,1,0
1440961355,0,1
1440963141,1,0
1440986564,0,1
1440990159,1,0
1441022575,0,1
1441027925,1,0
1441047750,0,1
1441049541,1,0
1441062156,0,1
1441065781,1,0
1441107149,0,1
1441108965,1,0
1441128745,0,1
1441130581,1,0
1441184555,0,1
1441186338,1,0
1441209754,0,1
1441211550,1,0
1441220559,0,1
1441224183,1,0
1441271814,0,1
1442242946,0,1
1442530034,1,0
1442876553,1,0
1442883723,0,1
1444086149,2,0
1444102412,0,1
1445898751,0,2
1446470246,1,0
1446590804,1,0
1446762713,1,0
1446841961,1,0
1446843762,1,0
1447021957,0,1
1447102940,1,0
1447109216,0,1
1447189370,1,0
1447196557,0,1
1447297626,1,0
1447301071,0,1
1447344194,0,2
1447351543,1,1
1447358611,1,0
1447365897,1,0
1447387453,0,1
1447391095,0,1
1447441402,0,1
1447444996,1,0
1447455862,1,0
1447470298,0,1
1447481129,1,0
1447491949,0,1
1447495557,1,0
1447498960,1,0
1447542438,0,1
1447546037,1,0
1447549489,0,1
1447556687,1,0
1447560334,0,1
1447570976,0,1
1447585552,0,1
1447596218,1,0
1447639479,0,1
1447653806,1,0
1447668226,0,1
1447671811,1,0
1447700623,0,1
1447711390,1,0
1447740191,0,1
1447761807,1,0
1447794274,0,1
1447826608,1,0
1447931006,0,1
1448002984,1,0
1448046250,0,1
1448053425,1,0
1448100185,0,1
1448110971,1,0
1448136283,0,1
1448183033,1,0
1448269387,0,1
1448280158,1,0
