DateTime,Entries,UniqueIPs
1457564157,1150,1150
1457574864,1150,1150
1457585661,1155,1155
1457596709,1163,1163
1457607476,1159,1159
1457618389,1162,1162
1457629369,1169,1169
1457640314,1168,1168
1457651220,1166,1166
1457662372,1153,1153
1457672128,1152,1152
1457683084,1151,1151
1457693904,1149,1149
1457704486,1149,1149
1457715024,1146,1146
1457725907,1147,1147
1457736899,1147,1147
1457747677,1139,1139
1457758808,1130,1130
1457769217,1126,1126
1457780134,1126,1126
1457791226,1125,1125
1457802190,1135,1135
1457812774,1137,1137
1457823439,1132,1132
1457834412,1135,1135
1457845457,1138,1138
1457856155,1139,1139
1457867495,1145,1145
1457878558,1149,1149
1457889548,1154,1154
1457900512,1153,1153
1457911339,1156,1156
1457922228,1157,1157
1457933270,1163,1163
1457944253,1164,1164
1457953781,1168,1168
1457964614,1166,1166
1457975520,1170,1170
1457985903,1168,1168
1457996981,1166,1166
1458007942,1163,1163
1458018932,1162,1162
1458029909,1164,1164
1458041042,1162,1162
1458052048,1157,1157
1458062947,1157,1157
1458072794,1157,1157
1458083363,1150,1150
1458094276,1152,1152
1458105515,1151,1151
1458116491,1150,1150
1458127311,1144,1144
1458138100,1142,1142
1458149001,1142,1142
1458160082,1147,1147
1458169862,1145,1145
1458180897,1141,1141
1458192013,1149,1149
1458202910,1149,1149
1458213424,1151,1151
1458223585,1152,1152
1458234508,1152,1152
1458245480,1149,1149
1458256592,1151,1151
1458267456,1156,1156
1458276942,1155,1155
1458287376,1152,1152
1458298048,1145,1145
1458308979,1145,1145
1458319864,1141,1141
1458330856,1141,1141
1458342005,1135,1135
1458352774,1133,1133
1458363391,1124,1124
1458373681,1125,1125
1458383630,1123,1123
1458394347,1126,1126
1458405150,1131,1131
1458415930,1128,1128
1458426977,1118,1118
1458437817,1118,1118
1458448638,1122,1122
1458459215,1123,1123
1458469046,1122,1122
1458480492,1121,1121
1458491239,1122,1122
1458502358,1125,1125
1458512492,1123,1123
1458522801,1120,1120
1458533722,1120,1120
1458545223,1117,1117
1458556278,1112,1112
1458566715,1118,1118
1458577532,1111,1111
1458588419,1119,1119
1458599463,1118,1118
1458609977,1119,1119
1458620896,1118,1118
1458631919,1124,1124
1458642956,1122,1122
1458653948,1121,1121
1458664940,1125,1125
1458676025,1133,1133
1458686808,1133,1133
1458697891,1131,1131
1458708774,1134,1134
1458719652,1136,1136
1458730417,1138,1138
1458741620,1138,1138
1458752542,1142,1142
1458763674,1148,1148
1458774616,1144,1144
1458784890,1146,1146
1458795442,1149,1149
1458806349,1148,1148
1458817186,1147,1147
1458828150,1147,1147
1458838911,1149,1149
1458849846,1149,1149
1458860762,1149,1149
1458871689,1149,1149
1458882594,1149,1149
1458893252,1152,1152
1458904335,1153,1153
1458915081,1156,1156
1458926155,1159,1159
1458937172,1161,1161
1458947956,1162,1162
1458957659,1159,1159
1458968786,1162,1162
1458979842,1163,1163
1458990725,1161,1161
1459001201,1161,1161
1459012134,1161,1161
1459023095,1159,1159
1459033647,1158,1158
1459043480,1151,1151
1459054474,1152,1152
1459065617,1151,1151
1459076273,1151,1151
1459086945,1151,1151
1459097994,1152,1152
1459108968,1150,1150
1459120072,1150,1150
1459130253,1147,1147
1459141032,1146,1146
1459151711,1145,1145
1459162703,1139,1139
1459172539,1137,1137
1459183535,1146,1146
1459194468,1142,1142
1459204935,1143,1143
1459216069,1147,1147
1459227141,1144,1144
1459237786,1143,1143
1459248635,1140,1140
1459259712,1146,1146
1459270343,1145,1145
1459281378,1142,1142
1459292243,1143,1143
1459302529,1145,1145
1459313275,1146,1146
1459324195,1142,1142
1459334889,1141,1141
1459345566,1141,1141
1459356285,1143,1143
1459366796,1142,1142
1459377668,1152,1152
1459387941,1155,1155
1459399005,1154,1154
1459410012,1157,1157
1459421015,1160,1160
1459432117,1167,1167
1459443131,1165,1165
1459454202,1163,1163
1459465109,1164,1164
1459475838,1169,1169
1459486803,1171,1171
1459497470,1170,1170
1459508193,1172,1172
1459518680,1171,1171
1459529942,1169,1169
1459540880,1171,1171
1459551770,1175,1175
1459562198,1175,1175
1459572483,1175,1175
1459583313,1174,1174
1459592663,1169,1169
1459603561,1171,1171
1459614364,1168,1168
1459625248,1166,1166
1459636295,1171,1171
1459646878,1168,1168
1459657021,1165,1165
1459667397,1164,1164
1459678308,1161,1161
1459688952,1163,1163
1459699583,1166,1166
1459711143,1165,1165
1459721984,1172,1172
1459731731,1170,1170
1459742506,1170,1170
1459753338,1172,1172
1459764047,1168,1168
1459774887,1167,1167
1459785492,1155,1155
1459794525,1153,1153
1459805094,1148,1148
1459815733,1149,1149
1459826318,1149,1149
1459836647,1149,1149
1459847446,1146,1146
1459858369,1150,1150
1459869357,1150,1150
1459879599,1150,1150
1459890682,1154,1154
1459901503,1152,1152
1459911565,1154,1154
1459921997,1156,1156
1459932886,1157,1157
1459943960,1163,1163
1459954363,1160,1160
1459965079,1158,1158
1459976096,1159,1159
1459987050,1160,1160
1459997497,1160,1160
1460008329,1159,1159
1460018644,1154,1154
1460029587,1151,1151
1460040917,1149,1149
1460051994,1130,1130
1460062974,1126,1126
1460074476,1128,1128
1460085319,1129,1129
1460096364,1127,1127
1460107302,1127,1127
1460117875,1129,1129
1460128476,1124,1124
1460139625,1121,1121
1460150188,1126,1126
1460160849,1125,1125
1460171187,1124,1124
1460180784,1121,1121
1460191782,1119,1119
1460202721,1127,1127
1460213257,1121,1121
1460224281,1112,1112
1460235339,1110,1110
1460246080,1110,1110
1460256868,1108,1108
1460267766,1106,1106
1460278551,1107,1107
1460289003,1106,1106
1460299587,1107,1107
1460310446,1104,1104
1460321450,1105,1105
1460332371,1100,1100
1460342930,1109,1109
1460353976,1107,1107
1460364484,1106,1106
1460375445,1102,1102
1460386544,1102,1102
1460397591,1105,1105
1460408662,1107,1107
1460419217,1104,1104
1460430064,1098,1098
1460440895,1093,1093
1460451669,1094,1094
1460463080,1088,1088
1460474005,1083,1083
1460485184,1080,1080
1460496460,1086,1086
1460507535,1075,1075
1460518330,1069,1069
1460529329,1068,1068
1460540183,1067,1067
1460550432,1068,1068
1460561415,1064,1064
1460572306,1064,1064
1460583302,1062,1062
1460594190,1061,1061
1460605059,1064,1064
1460615416,1061,1061
1460626340,1060,1060
1460637287,1060,1060
1460647908,1056,1056
1460658950,1053,1053
1460668407,1051,1051
1460679221,1049,1049
1460689550,1049,1049
1460700288,1052,1052
1460711232,1052,1052
1460722143,1054,1054
1460732910,1055,1055
1460743922,1050,1050
1460754270,1054,1054
1460764909,1052,1052
1460775698,1048,1048
1460786598,1042,1042
1460797947,1042,1042
1460808701,1050,1050
1460819792,1054,1054
1460830777,1052,1052
1460841663,1055,1055
1460852585,1055,1055
1460863556,1054,1054
1460874213,1058,1058
1460885299,1059,1059
1460896005,1063,1063
1460906709,1060,1060
1460917442,1065,1065
1460928413,1066,1066
1460938705,1066,1066
1460949812,1066,1066
1460960895,1065,1065
1460971944,1065,1065
1460982384,1064,1064
1460993221,1065,1065
1461004021,1062,1062
1461015376,1066,1066
1461026309,1070,1070
1461037228,1072,1072
1461048289,1067,1067
1461059111,1069,1069
1461068521,1067,1067
1461079213,1069,1069
1461090154,1068,1068
1461104256,1071,1071
1461114993,1070,1070
1461125924,1067,1067
1461136125,1068,1068
1461161666,1063,1063
1461174000,1057,1057
