DateTime,Entries,UniqueIPs
1437247819,93,95
1437325757,48,50
1437330044,92,96
1437412158,50,50
1437420431,88,92
1437506831,78,85
1437589132,45,50
1437593236,80,87
1437677123,48,50
1437681262,94,97
1437763525,50,50
1437767662,92,92
1437849925,50,50
1437854062,95,95
1437940454,50,50
1437944415,89,92
1438030465,48,50
1438034430,87,93
1438120850,85,90
1438203269,49,50
1438211363,87,92
1438297230,49,50
1438301359,86,90
1438386874,48,50
1438390823,88,90
1438477223,92,94
1438562714,49,50
1438566858,90,92
1438649119,49,50
1438653264,93,97
1438739124,47,50
1438743265,89,94
1438948584,50,50
1439038834,86,90
1439122407,50,50
1439132877,83,83
1439190562,83,83
1439194720,83,83
1439200207,83,83
1439212150,50,50
1439220435,80,80
1439238873,80,80
1439304865,50,50
1439308837,87,87
1439395227,50,50
1439399363,91,91
1439481656,50,50
1439489917,94,94
1439572168,50,50
1439580488,95,95
1439647149,95,95
1439663787,50,50
1439667924,89,89
1439753230,50,50
1439757394,91,91
1439839633,50,50
1439843795,91,91
1439913628,50,50
1440419781,50,50
1440510316,93,93
1440596712,50,50
1440600851,95,95
1440666557,95,95
1440684020,50,50
1440688160,96,96
1440770982,50,50
1440775171,92,92
1440860965,50,50
1440865090,91,91
1440950958,50,50
1440955097,89,89
1441041033,50,50
1441045120,90,90
1441130420,50,50
1441134553,87,87
1441220950,50,50
1441225102,89,89
1441307351,50,50
1441311502,95,95
1441395373,50,50
1441399049,95,95
1441482345,50,50
1441486456,97,97
1441572329,50,50
1441576023,97,97
1441660698,50,50
1441664835,86,86
1441750892,50,50
1441754840,91,91
1441840698,50,50
1441844834,89,89
1441931236,93,93
1442015119,50,50
1442019257,99,99
1442102061,50,50
1442106033,95,95
1442192419,50,50
1442196562,95,95
1442282954,50,50
1442287094,93,93
1442369917,50,50
1442374031,94,94
1442456327,50,50
1442460437,89,89
1442543236,50,50
1442547385,99,99
1442629640,50,50
1442633885,96,96
1442716588,50,50
1442720737,94,94
1442805495,50,50
1442809647,94,94
1442891896,50,50
1442896050,93,93
1442982445,50,50
1442986591,92,92
1443068853,50,50
1443077126,89,89
1443159413,50,50
1443163555,91,91
1443245828,50,50
1443250005,93,93
1443336345,50,50
1443340478,95,95
1443426876,50,50
1443430839,92,92
1443516946,50,50
1443520869,92,92
1443607224,50,50
1443611372,94,94
1443693626,50,50
1443697771,89,89
1443780045,50,50
1443788324,94,94
1443874718,50,50
1443878850,90,90
1443962187,50,50
1443966369,89,89
1444048596,50,50
1444056868,90,90
