DateTime,Entries,UniqueIPs
1434197235,911,75964928
1434283635,911,75964928
1434283635,911,75964928
1434542832,911,76032512
1434629234,910,76033536
1434629234,910,76033536
1434629234,910,76033536
1434715632,911,76035584
1434802034,907,76037632
1435147643,906,76038656
1435406833,907,76039680
1435493234,909,76103424
1435666100,910,76104448
1435838844,911,76109824
1435925231,912,76240896
1436443632,914,76245248
1436530034,915,76247296
1436616437,915,76244224
1437566840,917,76814592
1437653234,914,76835072
1437739633,914,77097216
1438258044,912,79194880
1438344436,913,79198976
1438517240,915,79240448
1438862836,916,79244544
1438949235,917,79248640
1439035640,917,79248896
1439122061,917,79248896
1439122061,917,79248896
1439122061,917,79248896
1439208442,917,79248896
1439467637,918,79249920
1439640436,918,79249920
1440158843,918,79249920
1440245241,917,79250944
1440590838,917,79250944
1440677238,920,79334912
1440850035,924,79314432
1441195631,921,79385344
1441368438,918,79389696
1441454835,916,79391744
1441541239,917,79457280
1441800441,918,79462400
1442146035,920,79469568
1442405238,916,79479808
1443096438,919,80951296
1443182843,919,80959488
1443960439,910,80988928
1444306034,910,81144576
1444478841,910,81212160
1444824441,912,81475584
1444910840,907,81478912
1445602049,902,81482240
1445688443,902,81483264
1446034032,902,81485312
1446206833,905,81563136
1446379633,910,81583104
1446725237,906,81584128
1446898033,907,83681280
1446984440,909,83684608
1447243636,910,83750144
1447330034,910,84537600
1447503066,911,84735232
1447848451,912,84737280
1447934834,912,84737536
1448539639,910,85284352
1448626036,910,85292800
1448798837,910,85293824
1448971638,911,85294080
1449922031,911,85320448
1450267629,912,85320704
1450354031,916,85314560
1450526828,916,85314816
1450613265,915,85318912
1450872443,912,85320960
1450958828,912,87418112
1451390827,913,87419136
1451650029,913,87416064
1452168428,914,87679232
1452427625,915,89776384
1452859629,914,89797888
1453032430,914,89801984
1453118828,919,89806080
1453205231,919,89806080
1453291628,919,89806080
1453378031,921,90887424
1453464429,921,90887424
1453550832,927,91950336
1453637228,928,91974912
1453723630,928,91974912
1453896430,929,91975424
1454069232,921,91977984
1454155631,922,91978240
1454846830,921,92016128
1455970028,919,92038912
1456488429,918,92036864
1456574828,923,92038656
1456661229,922,92040704
1456834083,923,92041728
1456920439,921,92043776
1457006830,920,92046848
1457093231,920,92048896
1457266030,919,92052992
1457611629,919,92055040
1457698029,919,92059136
1457870828,920,92091904
1458130029,925,92354304
1458216431,925,92355328
1458302829,924,92354304
1458475637,925,92429312
1458648433,926,92430336
1458907632,927,92431360
1458994033,927,92433408
1459080432,927,92427264
1459512429,928,92427520
1459944428,928,92429568
1460030829,928,92429824
1460117231,924,92431104
1460203629,924,92635904
1460549236,919,92652288
1460722080,914,92654336
1460808431,915,92655360
1461154032,916,92671744
