DateTime,Entries,UniqueIPs
1434197235,1258,11131904
1434283635,1258,11131904
1434283635,1258,11131904
1434629234,1260,11133952
1434629234,1260,11133952
1434629234,1260,11133952
1434715632,1261,11134976
1434802034,1266,11140096
1435061229,1270,11143168
1435147643,1272,11145216
1435406833,1274,11147264
1435666100,1277,11151872
1435838844,1277,11150848
1436011633,1279,11153920
1436270833,1280,11157760
1436357235,1282,11159808
1436530034,1286,11164928
1436616437,1287,11165952
1436875649,1290,11169024
1437048434,1292,11172096
1437134840,1296,11178240
1437307639,1297,11179264
1437480442,1298,11180288
1437566840,1301,11183360
1437653234,1303,11185408
1437739633,1305,11187456
1437826038,1306,11188480
1438085235,1308,11190528
1438171637,1312,11196672
1438430834,1314,11198720
1438690037,1319,11203840
1438862836,1322,11207936
1439035640,1325,11211008
1439122061,1325,11211008
1439122061,1325,11211008
1439122061,1325,11211008
1439208442,1325,11211008
1439294839,1327,11213056
1439381237,1330,11216128
1439640436,1335,11223296
1439640436,1335,11223296
1439986039,1339,11225344
1440158843,1344,11232512
1440158843,1344,11232512
1440504438,1349,11237120
1440590838,1350,11238144
1440590838,1350,11238144
1440677238,1354,11243264
1440850035,1352,11241216
1441109235,1354,11243264
1441195631,1353,11240192
1441282034,1355,11240960
1441454835,1356,11245056
1441714034,1358,11247104
1441886837,1362,11251200
1441973236,1364,11253248
1442059634,1365,11254272
1442405238,1367,11256320
1442491638,1370,11259392
1443096438,1376,11266048
1443182843,1378,11268096
1443701235,1380,11270144
1443787639,1379,11269120
1443874040,1381,11271168
1444219636,1382,11272192
1444306034,1386,11276288
1444392440,1388,11278336
1444478841,1392,11282432
1444824441,1391,11281408
1444910840,1392,11281920
1444997241,1396,11286272
1445083643,1397,11285504
1445515642,1404,11293696
1445602049,1405,11297792
1445688443,1408,11301888
1445947632,1410,11303936
1446120433,1415,11308288
1446206833,1417,11310336
1446293231,1415,11307264
1446552431,1416,11308288
1446638836,1417,11309312
1446725237,1419,11311360
1446811634,1422,11313920
1446898033,1424,11315968
1447243636,1426,11318016
1447330034,1425,11315968
1447416435,1427,11318016
1447848451,1433,11325184
1448021233,1439,11331328
1448366834,1442,11333888
1448539639,1443,11334912
1448712434,1449,11347200
1449058037,1445,11374848
1449144435,1448,11377920
1449230836,1449,11378944
1449749230,1451,11380992
1449835633,1453,11383040
1449922031,1454,11384064
1450267629,1459,11389184
1450354031,1460,11390208
1450440431,1463,11394304
1450872443,1467,11397376
1450958828,1472,11403520
1451390827,1473,11404544
1451563632,1475,11406592
1451650029,1471,11386112
1451995628,1475,11390208
1452254830,1473,11388160
1452341228,1476,11406592
1452600431,1479,11409664
1452686834,1481,11411712
1452773231,1491,11421952
1452859629,1492,11424000
1452946030,1493,11424512
1453118828,1493,11424512
1453205231,1495,11426560
1453291628,1495,11426560
1453378031,1497,11460864
1453464429,1497,11460864
1453550832,1499,11462912
1453637228,1499,11462912
1453723630,1499,11462912
1453810031,1501,11464960
1453982829,1503,11467008
1454155631,1504,11467264
1454414837,1502,11464704
1454501231,1503,11465728
1454587633,1505,11468032
1455019629,1509,11472128
1455106028,1508,11471104
1455192428,1510,11473152
1455365229,1512,11475200
1455624426,1518,11481344
1455797229,1519,11482368
1455970028,1520,11547904
1456315628,1521,11548928
1456402028,1522,11549952
1456574828,1520,11547904
1457179633,1526,11554560
1457438832,1529,11558656
1457525231,1528,11493120
1457611629,1531,11503360
1457784429,1533,11505408
1458043630,1535,11507456
1458130029,1537,11509504
1458216431,1536,11443968
1458302829,1537,11444224
1458648433,1538,11445248
1458734832,1541,11448064
1458821236,1533,11439872
1459339631,1534,11440896
1459426055,1536,11442944
1459512429,1537,11443968
1459598829,1536,11442944
1460030829,1538,11444992
1460117231,1540,11447040
1460203629,1543,11449344
1460549236,1545,11451392
1460635632,1548,11454464
1460722080,1550,11456512
1461067631,1553,11459584
1461154032,1557,11465728
